CMDLINE /Users/ahenry/miniconda3/envs/wind_forecasting_env/bin/python preprocessing_main.py --config ../../examples/inputs/preprocessing_inputs_awaken_new.yaml --reload_data --multiprocessor cf
MEM 0.046875 1737219350.4741
MEM 39.296875 1737219350.5835
MEM 60.156250 1737219350.6932
MEM 74.609375 1737219350.8032
MEM 102.453125 1737219350.9155
MEM 118.125000 1737219351.0216
MEM 133.812500 1737219351.1309
MEM 144.968750 1737219351.2403
MEM 172.265625 1737219351.3497
MEM 190.375000 1737219351.4591
MEM 205.453125 1737219351.5689
MEM 217.109375 1737219351.6782
MEM 229.796875 1737219351.7877
MEM 250.078125 1737219351.8973
MEM 260.781250 1737219352.0068
MEM 269.875000 1737219352.1113
MEM 283.890625 1737219352.2176
MEM 294.656250 1737219352.3222
MEM 303.734375 1737219352.4317
MEM 312.750000 1737219352.5411
MEM 322.687500 1737219352.6510
MEM 615.578125 1737219352.7641
MEM 807.281250 1737219352.8717
MEM 967.375000 1737219352.9798
MEM 1040.062500 1737219353.1296
MEM 1041.156250 1737219353.2420
MEM 1072.968750 1737219353.3576
MEM 1127.359375 1737219353.4737
MEM 1169.562500 1737219353.5873
MEM 1365.625000 1737219353.7074
MEM 1448.031250 1737219353.8571
MEM 1489.078125 1737219353.9767
MEM 1524.765625 1737219354.0931
MEM 1549.515625 1737219354.2028
MEM 1595.093750 1737219354.3082
MEM 1646.500000 1737219354.4333
MEM 1701.156250 1737219354.5446
MEM 1789.609375 1737219354.6561
MEM 1932.250000 1737219354.7697
MEM 2155.171875 1737219354.8839
MEM 2372.703125 1737219354.9957
MEM 2534.281250 1737219355.1067
MEM 2566.750000 1737219355.2197
MEM 2605.265625 1737219355.3301
MEM 2656.453125 1737219355.4396
MEM 2890.234375 1737219355.5526
MEM 3530.265625 1737219355.6622
MEM 3611.593750 1737219355.7684
MEM 3695.828125 1737219355.8783
MEM 3776.921875 1737219355.9880
MEM 3876.156250 1737219356.0981
MEM 3972.312500 1737219356.2080
MEM 4038.031250 1737219356.3131
MEM 4111.234375 1737219356.4235
MEM 4192.343750 1737219356.5332
